place_id,post_title,post_body,post_date,image_count
1baf3b21-ff47-5b88-989d-ab78b847fe16,[광주맛집] 광주 서구 카페안 분위기가 좋은 도심속 커피숍 카페92도,광주맛집 광주 서구 카페안 분위기가 좋은 도심속 커피숖 카페 92도 맛있는 커피를 먹을수 있는곳입니다. 지인들과 함께 커피숖에 입장합니다. 안에 인테리어가 깔끔하죠? 다양한 메뉴가 구성되어 있는 커피숖입니다. 날씨가 쌀쌀해서 뜨거운커피를 먹어봅니다. 카페라떼와 바닐라라떼를 먹었습니다. #광주맛집 #광주 #맛집 #카페92 #카페 #92 #커피 #카페라떼 #라떼 #바닐라라테 #아이스커피 #핫커피,2025-10-19,8
1baf3b21-ff47-5b88-989d-ab78b847fe16,[광주맛집] 광주 서구 풍금로에 위치한 카페92도 시원하게 커피한잔,요즘같은 더위에서는 시원한 아이스커피를 안먹을수가 없습니다. 광주 서구 풍금로에서 식사를 하고 나서 카페92도에서 커피한잔 합니다. 공간도 넒고 시원한 곳에서 커피한잔 할려고 합니다. 카페안에 들어서면 넓고 아늑한 공간이 펼쳐집니다. 시원한 아이스커피와 블루베리를 시켰습니다. 얼음둥둥 시원하게 들이키는 커피한잔 나쁘지 않죠? 내부를 보시면 인테리어가 잘되어 있습니다. 무더운 더위 시원하게 커피한잔 하세요 #광주맛집 #광주 #맛집 #커피 #아이스커피 #한잔 #커피한잔 #광주서구커피 #서구커피 #풍암커피 #시원한커피,2025-08-16,7
1baf3b21-ff47-5b88-989d-ab78b847fe16,"광주광역시 청소업체_ 풍암동 카페 간판청소, 어닝천막청소","광주광역시 청소업체 청소연구소입니다. 오늘은 풍암동에 위치한 92도씨 카페 간판청소 및 어닝청소 후기입니다. 17년 12월부터 청소하고 싶으셔서 견적을 받아 놓으셨다가 18년 10월에 청소를 했답니다. 간판 글씨 내부에 오염이 심해 글씨 분해까지 맡겨주셨어요. 서비스 내용 - 간판 글씨 분해 청소 - 간판 글씨 외부 청소 - 어닝 천막 청소 간판 및 어닝 청소 같은 외부 청소는 야외에서 작업하는데 물(수도) 공급과 전기 공급이 항상 필수 됩니다. 그래서 사전에 미리 방문해서 준비하도록 하고 있습니다. 그리고 지금처럼 추운 겨울에는 물이 얼어서 청소가 안되는 경우가 빈번하며 되도록 해가 중천에 떠있는 낮 11시~3시에만 가능합니다. 간판 글씨 분해청소 (별도) 간판청소 서비스는 간판 글씨의 외부청소 및 판넬청소, 거미줄 제거까지만 해당되며 글씨 분해청소는 간판청소비용 외 별도입니다. https://blog.naver.com/cleanier/221048748904 어닝 천막 청소 고압세척기를 이용하여 세제도포 - 세척 - 세제도포 - 세척을 반복하여 청소합니다. 청소 시 90%까지 복원 가능합니다. 하지만 70%까지 밖에 복원이 안되는 경우도 있으세요. 일정 조율 후 방문해서 청소 유무 말씀드리고 있습니다.",2019-01-04,13
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,대학로카페 모짜르트(MOZART)-갤러리카페,"모짜르트(MOZART) - 대학로 갤러리 카페 지난주에 시누이랑 대학로에서 만났던 날 카페에서 와플이랑 스무디를 먹고 나왔는데 대학로를 좀 돌아다니다보니 바람이 불어서 날씨도 춥고 따스한 커피한잔이 생각나서 시누이랑 같이 그냥 무조건 들어가게 되었던 카페에요 1층에도 카페가 있었는데 사람들이 너무 많아서 넘 복잡해보이기도 하고 2층에 보이는 갤러리카페가 조용해보이길래 들어가게 되었던 대학로 갤러리카페 '모짜르트'에요!~~ ^^ 1층에도 카페가 있었는데 왠지 조용해보이던 2층 카페 '모짜르트'가 눈길을 끌었던~~ 들어가는 입구에요 계단으로 올라가서 2층에 있답니다 2층 계단으로 올라가니 갤러리카페답게 꽃이랑 조각품들이 반겨주었어요 생각보다 굉장히 넓고 엔틱했던 실내모습 각종 티도 있고 정말 엔틱한 가구들도 많았어요 여기 사장님이 여행을 많이 다니신 듯~~ 세계 각국의 소품들도 가득하더라구요 갤러리카페답게 도자기 작품도 전시중이었구요 완전 오픈되어 있는 키친 겸 카운터에요 젊은 훈남 사장님이랑 친절하신 언니가 계시더라눈~~ 안쪽으로 이렇게 별도의 룸도 있었어요 햇살이 환하게 들어오는 룸이 따스해보였어요 커다란 그랜드 피아노도 한대 놓여져 있었답니다 아프리카나 남미에서 가져온 듯한 소품들이 가득가득!!~~ 카페이름이 '모짜르트'라더니 '모짜르트' 흉상도 있구요 악기들도 액자로 만들어져서 독특하게 인테리어를 해놓으셨더라구요 의자도 엔틱스럽고 곳곳이 갤러리카페 같죠? 녹색의 메뉴판 카페라떼 - 5,000원 카푸치노 - 5,000원 저희는 이미 와플이랑 스무디를 잔뜩 먹구와서 커피만 주문을 했어요 시누이가 주문한 카페라떼에요 카페라떼는 라떼아트도 그냥 그렇고 맛은 괜챦다고 하더라구요 그래도 살짝 기대를 했었는데 카페라떼 약간 실망,,,, 카푸치노 그래도 제가 주문한 카푸치노는 제대로 나오네요 거품이 아주 많지는 않았지만 부드러운 거품에 시나몬 가루도 솔솔 뿌려져서 나와요 요즘 카페가면 늘 빵이나 케잌을 먹었더니 커피만 시키니 왠지 사진도 허전해 보이네요 그래두 은근 바람불고 날씨가 쌀쌀해서 부드러운 거품이 가득한 카푸치노 한잔이 넘 좋더라구요 클래식 음악과 함께 분위기에 취해서 따스한 커피도 어느새 한잔 다 마시고~~~ 그렇게 다시 도란도란 얘기를 나누고 나왔답니다 나오면서 보니 사람들이 가득 모여 있어요 역시나 젊음의 거리 대학로네요 길거리 악사(?).. 암튼 잼나는 길거리 가수분들이 연주에 잼나는 얘기로 사람들이 가득 모여있어서...",2012-04-07,31
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,대학로 카페 모짜르트,대학로에 1993년부터 모짜르트란 이름으로 클래식음악이 흐르는 카페가 있네요~ 카페 겸 모임대관도 한다고 합니다. 대학로 오시면 편안하게 쉬실 수 있는 공간으로 추천드립니다. Piano Concertos No. 20 and 21 'Elvira Madigan' by Wolfgang Amadeus Mozart http://naver.me/IDYi7Oa8 하루종일 모짜르트만 들어도 좋습니다.,2018-12-09,4
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,갤러리 카페 모짜르트,"☕️ 갤러리카페모짜르트(카페) 영업시간 :13:00~19:00 토, 일요일 :13:00~21:00 매주 월요일 정기휴무 혜화역 2번 출구에서 168m ☎ 02-744-3587 영하로 떨어졌던 수요일 예약한 연극을 보러 대학로에 나왔습니다. 칼바람이 부는 대학로.. 그래도 햇살이 좋아 다행입니다. 추위에 커피 한잔할 곳을 찾아봅니다. 멀리 벽에 그림이 눈에 들어와 들어가 보니 입구 계단부터 멋스럽습니다. 실내는 클래식 음악이 흐르고 클래식한 문양의 장식품과 피아노가 놓여 있어요. 실제 피아노 연주도 가능하다고 합니다. 단체 모임이나 대관 장소로도 이용되는 듯했어요 다양한 커피와 차 가격은 4,500원~8,000원 정도 스페셜 커피 후추, 시나몬, 스카치 커피(각 6,000원) 조각 케이크 등에 디저트도 있었어요 무대 세트장 같은 느낌도 들었던.. 벽에 그림들이 조금은 촌스럽기도 하고 그래서 더 클래식한 느낌이 들었던 곳 따뜻한 커피를 주문하니 바로 갈아 내려 주십니다. 조용하고 편안한 클래식 카페에서 맛있는 커피 한잔 마시고 연극 보러 갑니다. #갤러리카페모짜르트 #카페모짜르트 #대학로카페 #혜화역카페 #대학로분위기좋은카페 #클래식카페 #대학로마로니에공원카페",2025-12-07,19
e0b28876-9907-59b4-85a9-ca5ed8be341c,HungryAlice's Merry Go Round,"[광화문 커피숍] 과일청들이 본격적인 곳! - 글라세라떼 커피만 마시다 보면 다른것도 마시고 싶고 그렇차나요? 그래서 가봤어요! #글라세라떼 입니다. 글라세라떼 외관 이때쯤 사무실에 임신하신 댈님이 계셔서 커피말고 딴거 마셔야 겠다고 생각했는데 여기 생과일 주스 판다고 해서 와 봤는데 메뉴 종류가 많아요! 글라세라떼 입간판 #티어클락 이라고 아마드 티랑 매장에서 제조한 과일청에 과일농축액 세가지 종류를 블렌딩 해서 블랜딩 티를 팔고 있더라구요! 글라세라떼 티어클락 메뉴 급!!! 이걸로!! 뭐 먹을까 하다가! #로마의휴일 로 ㅋㅋ 생과일 먹겠다고 같이 가신 분도 급! #비포선셋 으로! 메뉴는 다시 쭉~ 찍어 보았네요 글라세라떼 메뉴 큰컵에 주시고 음 일단 따듯한 물에 아마드티 우려 내시고 진열장에 있는 과일청병 하나 꺼내서 다 넣으시고 과일 농축액 넣는 건 못봤지만 넣으셧겠죠! 글라세라떼 과일청 맛있어요! 가격이 ㅋㅋ 조금 나가서 그렇지 커피 안드시는 분들께 강추 하고 싶어요! 너무 맛있게 잘 마셧네요 글라세라떼 로마의휴일, 비포썬셋 그래서 두번째도 사먹어 보았죠! 두번째는 #뉴욕택시 마셨는데 요것도 너무 맛있고 제 취향이었네요 글라세라떼 뉴욕택시 양도 많고! 진짜 아마드티 하나 넣어주고 청들도 딱 맛있고 ! 외관이 ㅋㅋ 슬쩍 ㅋㅋㅋ 별로지만 ㅎㅎㅎ 티어클락! 맛있어요! 특별한 마실꺼 찾으시는 분들 께 추천이에요! 아! 커피는 기본 맛입니다. 근데! 테이블 없고 다 테이크 아웃 입니다! #내돈내산 #생과일쥬스 #광화문커피숍 #광화문과일쥬스 #광화문tea",2022-10-03,13
e0b28876-9907-59b4-85a9-ca5ed8be341c,[광화문/서대문 카페] 수제과일청과 티백의 독보적인 블랜딩티 테이크아웃전문점 - 글라세라떼,"이번에 소개할 맛집 Keyword! 카페 이름 : 글라세라떼 카페 주소 : 서울 종로구 새문안로 46 1층 달달하고 양 많은 음료 원할 때 빠르고 간단하게 음료 테이크아웃하고 싶을 때 글라세라떼 별점은요, ★★★★★(5/5) 머근거 티어클락 5,000원 x 3개 ♀️ 장점 일반적인 음료 뿐만 아니라, 독특한 블렌딩티가 있음 친절함 ♀️ 단점 테이크아웃 전문이라 앉아서 먹을 곳은 없음 기타 제로페이 O 위치 글라세라떼 설명 들어갑니다- 글라세라떼는 서대문역과 광화문역 사이에 있당 어느날 회의가 많았고, 그 회의실은 무척 더웠고, 회의가 끝나고 달달구리한 음료를 뭘 먹을까 생각하다가, 수제 과일청으로 만들어서 몸에도 해롭지 않을 것 같은... 그런 곳을 찾아갔다 :) 테이크아웃 전문점이고, 근처 직장인들에게 힘이 되어주는 친절하고 맛있는 카페로 유명하다 주문은 키오스크로 하면 되고, 제로페이/서울페이 쓸 사람들은 사장님께 말씀드려 따로 결제하면 된당! 이 카페는 일반적인 음료도 많음 아이스아메리카노가 1,800원! 그런데, 이곳의 트레이드마크는 바로 티어클락! 아마드 티백 + 수제 과일청 + 과일농축액 총 3가지를 블랜딩한 음료이고, 총 9가지 종류가 있다. 이름도 참 매력적인데, 모스크바 붉은 광장, 뉴욕 택시, 땡큐베리마치, 런던의 아침, 로마의 휴일, 미드나잇 인 파리, 미스사이공, 비포선셋, 서울의 달 모두 과일청의 종류나 색깔로 표현해놓은 이름이라 참 독특! 카페에는 이렇게 수제청, 과일, 농축액 등이 진열되어 있고, 이렇게 직접 보여주시니 더욱 믿음이 가는 카페❣️ 내가 참 애용하는 제로페이와 서울페이~ 회사 주위 종로구나 중구 상품권을 사서 열심히 쓰고 있당 ㅎ_ㅎ 오늘 주문한 티, 왼쪽부터 순서대로 2, 8, 9번. 2번 뉴욕택시는 캐모마일 레몬그라스 + 애플망고 + 레몬청, 8번 비포선셋은 믹스드 시트러스 + 레몬 + 유자청, 9번 서울의달은 얼그레이 + 레몬 + 생강청이다 세가지 모두 흠잡을 곳 없었고, 양도 많아서 여름에 달달할 음료 땡길 때, 스르테스 받아서 달달한 음료 땡길 떼, 하나씩 사들고 쭈욱 빨아먹는 것 추천!♀️ 오늘의 직장인 음료 끗!!!",2023-03-19,6
e0b28876-9907-59b4-85a9-ca5ed8be341c,광화문 생과일주스맛집 자두주스 있는 글라세라떼,글라세라떼 서울 종로구 새문안로 46 신문로교회 1층 #정동사거리카페 정동사거리 근처에 위치한 #광화문카페 #글라세라떼 사실 옆에 스타벅스도 있는지라 그냥 지나치기만 해왔었는데 과일주스가 너무 먹고싶어서 들어가보게 되었다 1평 구조의 카페라 저렴할거라는 기대감도 있었음 과일들이 밖에도 있고 컵에 과일 들어가있는게 가득가득 들어가있다 보통 다른 카페에서는 저정도 과일 들어가있으면 기본 6~7천원이지 과일주스 뿐 아니라 특별한 음료들도 있고 투데이 음료 해서 할인판매도 한다 할인하는 것중에 매일매일 골라마시는 것도 좋을 거 같다 매일매일 비타민 충전 제로페이도 가능하고 저렇게 과일이 박스째 있고 컵에도 가득하다 바로바로 생과일 갈아주심 칠성 젤리 에디션 뭔가 귀여워서 찍어봄 키오스크 결제다 모닝토마토도 팔아서 아침 출근길에 들리기도 좋은 #광화문아침 카페 몸이 아팠던 요즘 먹고싶은게 있으면 먹어줘야할 거 같다 임산부도 아닌데 살구쥬스가 땡김 ㅋㅋㅋ 집근처에는 없어서 찾아헤맸는데 글라세라떼에 팔아서 좋으다 ㅎㅎ #광화문생과일주스,2021-11-24,8
3cf4bbc8-9da6-54a9-8683-5cc5cae2f1ad,D+6_장례지도사 교육 스따뜨!,새벽 4시에 일어나는 건 좀 마니 힘들지만 지옥철을 피해서 느긋하게 수업 1시간 전에 도착해 1층 카페에서 따뜻한 라떼를 한모금 마시면 기분이 아주 뿌듯하다. 심지어 오늘은 지하철역 에서부터 2킬로 가량을 느린 조깅을 하며 왔다. 영하로 내려간 날씨에 버스를 타도 됐지만 피곤하고 시간 없다고 운동 안하는 내 자신을 반성하는 의미로다가. 그래서 더욱 뿌듯함 오늘도 귀여운 동기들과 즐거운 하루 보냅세다!,2026-01-20,
